,MAKE A COPY TO BEGIN YOUR WORK. THIS IS A READ ONLY FILE,,,,,,,,,,,,,
2024-08-08,3135719663,1997/12/02,jessica,williams,New Flight,D48976409,TRUE,MIA,DEN,TRUE,TRUE,-1,2,FALSE
2021-02-08,3135719663,1997/12/02,JESSICA,williams,Cancel Flight,,TRUE,ttt,JFK,FALSE,TRUE,-1,19,FALSE
2022-11-12,1525568044,08-04-2020,CHAD,Keller,Flight Deal,X31269699,TRUE,ttt,DEN,FALSE,TRUE,6,13,TRUE
2022-06-16,,08-04-2020,CHAD,keller,Cancel Flight,T75752335,FALSE,DFW,ATL,TRUE,FALSE,10,8,TRUE
2023-11-19,1525568044,2020/04/08,CHAD,,Flight Deal,A37191216,FALSE,DFW,ORD,TRUE,FALSE,8,14,
2023-07-22,1525568044,04/08/2020,chad,keller,Cancel Flight,D66433485,TRUE,SFO,DFW,TRUE,FALSE,12,6,TRUE
2023-12-04,1525568044,2020/04/08,CHAD,Keller,New Flight,,FALSE,JFK,SEA,FALSE,TRUE,4,6,FALSE
2021-12-07,9694784205,2012/11/11,MARY,campbell,Flight Status,V68056948,TRUE,ORD,SFO,TRUE,TRUE,0,7,FALSE
2022-06-13,9694784205,11-11-2012,MARY,campbell,,V15568043,FALSE,LAX,MIA,FALSE,,1,23,TRUE
2021-03-17,9694784205,11-11-2012,mary,Campbell,,W10600203,FALSE,JFK,MIA,TRUE,FALSE,-1,12,TRUE
2022-10-26,9694784205,11-11-2012,mary,Campbell,Cancel Flight,G24778565,FALSE,SEA,DFW,TRUE,FALSE,1,14,TRUE
2021-01-02,5352111805,,frederick,calderon,New Flight,B25019156,FALSE,SFO,YYY,FALSE,TRUE,1,7,FALSE
2023-07-07,5352111805,2009/06/25,frederick,calderon,Flight Deal,Z07146192,,ORD,ATL,FALSE,,-1,21,FALSE
2023-01-14,5352111805,25-06-2009,frederick,calderon,New Flight,Y04217792,TRUE,MIA,JFK,TRUE,FALSE,0,19,TRUE
2024-05-06,5352111805,25-06-2009,frederick,Calderon,New Flight,L17470855,FALSE,JFK,BOS,FALSE,,0,17,FALSE
2022-10-09,5352111805,,frederick,calderon,Flight Status,X15271071,TRUE,MIA,SFO,,FALSE,-1,7,TRUE
2023-03-11,5352111805,2009/06/25,FREDERICK,calderon,New Flight,P56889674,FALSE,JFK,ATL,FALSE,FALSE,-1,3,TRUE
2021-07-02,5352111805,,FREDERICK,calderon,Flight Deal,I69868003,TRUE,BOS,MIA,TRUE,FALSE,-1,18,TRUE
2021-11-11,5352111805,,FREDERICK,calderon,Flight Status,X62585042,TRUE,ORD,DEN,TRUE,TRUE,-1,15,FALSE
2023-08-28,5352111805,,frederick,Calderon,Cancel Flight,R31889888,FALSE,SEA,JFK,TRUE,FALSE,0,5,FALSE
2022-02-25,5352111805,2009/06/25,FREDERICK,Calderon,Flight Status,W27194196,FALSE,JFK,DEN,TRUE,TRUE,-1,10,TRUE
2023-12-02,9179553386,17-03-1998,,Carter,Flight Deal,U20157478,TRUE,ttt,SEA,TRUE,TRUE,4,12,FALSE
2022-05-07,9179553386,,CARMEN,Carter,Flight Status,K04167711,FALSE,JFK,DFW,TRUE,FALSE,0,7,TRUE
2023-09-09,9179553386,1998/03/17,CARMEN,,New Flight,Z88949234,FALSE,DEN,MIA,FALSE,FALSE,1,17,
2023-03-05,9179553386,1998/03/17,CARMEN,Carter,Cancel Flight,X65302661,FALSE,DFW,ORD,FALSE,FALSE,-1,17,TRUE
2022-07-31,9179553386,03/17/1998,CARMEN,Carter,New Flight,M04377990,,ORD,ATL,FALSE,FALSE,-1,4,TRUE
2023-05-16,2197672045,,CODY,Chen,Cancel Flight,E95696317,TRUE,ORD,BOS,TRUE,TRUE,0,10,TRUE
2021-06-18,2197672045,08/25/2021,CODY,,Flight Deal,,FALSE,MIA,ATL,TRUE,TRUE,-1,14,FALSE
2024-10-06,2197672045,2021/08/25,CODY,Chen,New Flight,H09084758,FALSE,MIA,SEA,FALSE,TRUE,12,22,TRUE
2021-03-13,367459745,08-09-1989,jessica,Colon,New Flight,O57911850,FALSE,SEA,MIA,TRUE,FALSE,0,14,TRUE
2023-05-09,367459745,08-09-1989,jessica,Colon,Cancel Flight,P48489560,TRUE,MIA,ATL,FALSE,FALSE,-1,9,TRUE
2023-05-27,,,jessica,colon,New Flight,X11732945,,ATL,BOS,FALSE,TRUE,-1,6,FALSE
2023-08-30,367459745,09/08/1989,jessica,colon,New Flight,V77367751,FALSE,MIA,BOS,TRUE,FALSE,1,10,TRUE
2024-03-21,367459745,08-09-1989,jessica,colon,Flight Status,H34885094,TRUE,SEA,BOS,FALSE,FALSE,0,8,
2024-05-31,367459745,08-09-1989,jessica,colon,Flight Status,C93387142,TRUE,SEA,MIA,TRUE,TRUE,-1,7,TRUE
2021-05-18,367459745,08-09-1989,JESSICA,colon,,J55758274,FALSE,MIA,JFK,FALSE,FALSE,9,6,TRUE
2022-09-15,367459745,09/08/1989,JESSICA,colon,Flight Deal,Y05882669,FALSE,LAX,,TRUE,TRUE,0,10,FALSE
2022-03-03,367459745,08-09-1989,JESSICA,Colon,Flight Deal,Z18845189,TRUE,MIA,DFW,FALSE,TRUE,2,9,
2021-11-21,367459745,08-09-1989,jessica,colon,Flight Status,R24360966,FALSE,ATL,JFK,FALSE,TRUE,12,,FALSE
2021-05-18,,01/28/2006,james,Williamson,New Flight,W09390613,FALSE,ATL,YYY,FALSE,TRUE,0,18,FALSE
2024-04-20,8213060713,01/28/2006,JAMES,williamson,New Flight,W16109016,TRUE,DEN,JFK,TRUE,FALSE,-1,14,FALSE
2021-02-16,8213060713,01/28/2006,james,Williamson,New Flight,E12918966,FALSE,DFW,DEN,TRUE,FALSE,-1,16,TRUE
2022-01-23,8213060713,28-01-2006,james,Williamson,Cancel Flight,W43642112,FALSE,JFK,LAX,TRUE,FALSE,13,3,FALSE
2022-02-06,8213060713,28-01-2006,james,williamson,Cancel Flight,X47454907,FALSE,LAX,JFK,FALSE,TRUE,0,13,FALSE
2023-06-13,141066351,01/15/2009,jeff,Stephens,Flight Status,F90780778,TRUE,DFW,MIA,TRUE,FALSE,3,22,TRUE
2021-04-01,141066351,15-01-2009,jeff,Stephens,Flight Deal,W14452681,FALSE,,YYY,FALSE,FALSE,0,20,FALSE
2023-06-30,141066351,15-01-2009,JEFF,Stephens,Flight Status,C99042720,TRUE,DFW,SFO,FALSE,FALSE,0,17,TRUE
2021-01-22,141066351,15-01-2009,JEFF,Stephens,Flight Deal,T73701942,TRUE,BOS,SFO,FALSE,FALSE,13,14,FALSE
2022-08-26,141066351,15-01-2009,jeff,Stephens,Flight Status,,FALSE,LAX,SFO,FALSE,FALSE,-1,10,TRUE
2022-03-06,5075217105,10-11-2010,jennifer,johnson,Flight Status,,TRUE,,DEN,TRUE,TRUE,4,3,FALSE
2023-03-08,5075217105,2010/11/10,JENNIFER,Johnson,New Flight,S65470242,TRUE,ATL,BOS,TRUE,FALSE,7,13,TRUE
2022-03-25,5075217105,2010/11/10,jennifer,Johnson,Flight Deal,K06326825,TRUE,SEA,ATL,FALSE,TRUE,8,1,TRUE
2022-02-04,5075217105,2010/11/10,jennifer,Johnson,Cancel Flight,L18220790,FALSE,SEA,YYY,TRUE,FALSE,1,23,FALSE
2022-03-21,5075217105,11/10/2010,JENNIFER,johnson,Flight Deal,J00568018,FALSE,BOS,JFK,TRUE,FALSE,1,4,TRUE
2024-08-15,3748568878,,MANUEL,hernandez,Flight Status,U60938810,TRUE,DEN,BOS,FALSE,,0,1,FALSE
2022-09-12,3748568878,08-03-1994,manuel,hernandez,Flight Status,E42911481,TRUE,LAX,SFO,FALSE,TRUE,8,10,TRUE
2023-05-23,3748568878,,MANUEL,Hernandez,Cancel Flight,Z27924056,FALSE,JFK,SEA,,FALSE,9,10,TRUE
2023-07-05,3748568878,,MANUEL,Hernandez,Flight Deal,N16669867,TRUE,JFK,SEA,FALSE,FALSE,-1,,FALSE
2024-07-17,2724020682,01-07-1990,karen,,Flight Deal,T89508306,TRUE,,JFK,TRUE,TRUE,7,21,
2023-04-11,2724020682,,KAREN,lam,Flight Status,Z84456795,FALSE,SFO,LAX,FALSE,FALSE,0,1,TRUE
2022-04-01,2724020682,07/01/1990,KAREN,Lam,Flight Status,Z22564399,TRUE,ATL,SEA,TRUE,FALSE,6,7,FALSE
2022-10-18,2724020682,1990/07/01,,Lam,Cancel Flight,D26353278,TRUE,LAX,BOS,FALSE,TRUE,14,22,TRUE
2022-04-09,2724020682,01-07-1990,karen,Lam,Cancel Flight,X77646080,FALSE,LAX,MIA,FALSE,TRUE,4,21,FALSE
2024-09-26,456630822,01-02-2007,,swanson,Flight Status,K51338527,TRUE,LAX,ORD,,FALSE,4,18,TRUE
2021-06-06,456630822,02/01/2007,stephanie,swanson,Cancel Flight,B99525698,TRUE,ORD,DFW,TRUE,FALSE,14,7,FALSE
2024-01-05,456630822,02/01/2007,STEPHANIE,swanson,Cancel Flight,L49117083,FALSE,ttt,SFO,FALSE,FALSE,-1,23,FALSE
2023-04-24,456630822,2007/02/01,stephanie,swanson,Flight Deal,X87548389,TRUE,BOS,SFO,FALSE,TRUE,0,6,TRUE
2024-07-02,456630822,02/01/2007,STEPHANIE,swanson,Flight Deal,U37453032,FALSE,MIA,DFW,TRUE,TRUE,0,4,FALSE
2023-09-29,768641583,02-12-2011,dawn,marsh,,G01145527,TRUE,LAX,JFK,FALSE,TRUE,2,7,TRUE
2024-05-10,768641583,02-12-2011,dawn,Marsh,New Flight,,TRUE,DEN,JFK,FALSE,,1,5,TRUE
